date,price
2024-06-03 00:00:00,1100806326.5494208
2024-06-04 00:00:00,1115385416.7448437
2024-06-05 00:00:00,1149650466.1261182
2024-06-06 00:00:00,1161159125.5422618
2024-06-07 00:00:00,1149694713.0012817
2024-06-08 00:00:00,1128395058.524684
2024-06-09 00:00:00,1128228086.7957058
2024-06-10 00:00:00,1133773626.1455214
2024-06-11 00:00:00,1134089469.919234
2024-06-12 00:00:00,1098459874.542362
2024-06-13 00:00:00,1108363152.4965546
2024-06-14 00:00:00,1086680085.5250382
2024-06-15 00:00:00,1088291649.599812
2024-06-16 00:00:00,1091249471.9892695
2024-06-17 00:00:00,1097431789.1740632
2024-06-18 00:00:00,1094369995.1243384
2024-06-19 00:00:00,1066236650.295912
2024-06-20 00:00:00,1063869142.4171084
2024-06-21 00:00:00,1069269227.7501265
2024-06-22 00:00:00,1055743392.732517
2024-06-23 00:00:00,1058516221.7208568
2024-06-24 00:00:00,1039993795.6174475
2024-06-25 00:00:00,990023453.1533304
2024-06-26 00:00:00,1013536353.8410891
2024-06-27 00:00:00,998359472.7301614
2024-06-28 00:00:00,1009045616.3398765
2024-06-29 00:00:00,986211678.3076681
2024-06-30 00:00:00,995161034.6970489
2024-07-01 00:00:00,1025682937.3524415
2024-07-02 00:00:00,1028590230.3639857
2024-07-03 00:00:00,1016859499.4638876
2024-07-04 00:00:00,985359239.977465
2024-07-05 00:00:00,934400681.2947719
2024-07-06 00:00:00,922124903.083052
2024-07-07 00:00:00,946350182.3776603
2024-07-08 00:00:00,908174525.6579182
2024-07-09 00:00:00,923301803.1119788
2024-07-10 00:00:00,943722524.825387
2024-07-11 00:00:00,935090168.5597985
2024-07-12 00:00:00,924482103.181081
2024-07-13 00:00:00,933020986.8700163
2024-07-14 00:00:00,953219450.1993226
2024-07-15 00:00:00,982077675.0711023
2024-07-16 00:00:00,1050484372.0258466
2024-07-17 00:00:00,1054322485.7415173
2024-07-18 00:00:00,1036231070.5363607
2024-07-19 00:00:00,1035624184.4794363
2024-07-20 00:00:00,1081240989.2909992
2024-07-21 00:00:00,1089615287.3840299
2024-07-22 00:00:00,1103903297.0465271
2024-07-23 00:00:00,1096998291.17926
2024-07-24 00:00:00,1070086619.6764923
2024-07-25 00:00:00,1063021908.8977144
2024-07-26 00:00:00,1074613390.1150837
2024-07-27 00:00:00,1107382701.9473686
2024-07-28 00:00:00,1109585586.6967242
2024-07-29 00:00:00,1111687620.0944023
2024-07-30 00:00:00,1088998079.910948
2024-07-31 00:00:00,1081827381.930566
2024-08-01 00:00:00,1051290832.6840858
2024-08-02 00:00:00,1063836568.4765462
2024-08-03 00:00:00,993321341.222238
2024-08-04 00:00:00,982506900.9704831
2024-08-05 00:00:00,929207967.4563485
2024-08-06 00:00:00,874633338.1685323
2024-08-07 00:00:00,905141734.8913382
2024-08-08 00:00:00,883238365.6021453
2024-08-09 00:00:00,988876466.6205448
2024-08-10 00:00:00,971549695.848092
2024-08-11 00:00:00,971152863.6609583
2024-08-12 00:00:00,936452650.8044548
2024-08-13 00:00:00,947426009.0990177
2024-08-14 00:00:00,954817072.0764346
2024-08-15 00:00:00,918269817.0241753
2024-08-16 00:00:00,908905196.3135755
2024-08-17 00:00:00,924310806.497421
2024-08-18 00:00:00,932926737.840242
2024-08-19 00:00:00,917032292.819873
2024-08-20 00:00:00,925209787.694126
2024-08-21 00:00:00,912413704.1807895
2024-08-22 00:00:00,948201622.6820369
2024-08-23 00:00:00,951164152.3562378
2024-08-24 00:00:00,986442018.1022965
2024-08-25 00:00:00,988097262.0403005
2024-08-26 00:00:00,990584947.2140247
2024-08-27 00:00:00,974202089.2430699
2024-08-28 00:00:00,921532971.999138
2024-08-29 00:00:00,911662339.3636143
2024-08-30 00:00:00,917904820.196615
2024-08-31 00:00:00,918838475.9367665
2024-09-01 00:00:00,915793978.7584189
2024-09-02 00:00:00,890902346.1540912
2024-09-03 00:00:00,919523274.400153
2024-09-04 00:00:00,894588562.7575611
2024-09-05 00:00:00,896386071.4429642
2024-09-06 00:00:00,865786210.5877347
2024-09-07 00:00:00,833571504.2697452
2024-09-08 00:00:00,837089573.0742493
2024-09-09 00:00:00,844457430.6061875
2024-09-10 00:00:00,883322882.6392634
2024-09-11 00:00:00,892554198.1194172
2024-09-12 00:00:00,885798468.6523321
2024-09-13 00:00:00,896937641.1679341
2024-09-14 00:00:00,934266924.4249794
2024-09-15 00:00:00,924752849.3757778
2024-09-16 00:00:00,911908478.4455452
2024-09-17 00:00:00,895029695.4561385
2024-09-18 00:00:00,925973617.0728495
2024-09-19 00:00:00,941331625.574048
2024-09-20 00:00:00,957223232.2481977
2024-09-21 00:00:00,957074386.6173768
2024-09-22 00:00:00,961246302.3366505
2024-09-23 00:00:00,963963621.4696592
2024-09-24 00:00:00,961076696.6423819
2024-09-25 00:00:00,974018605.1425986
2024-09-26 00:00:00,961143493.4660654
2024-09-27 00:00:00,985689055.6280763
2024-09-28 00:00:00,995079038.4966199
2024-09-29 00:00:00,997243479.6869414
2024-09-30 00:00:00,993131135.7318987
2024-10-01 00:00:00,961614001.311209
2024-10-02 00:00:00,930195248.0166698
2024-10-03 00:00:00,928289791.499558
2024-10-04 00:00:00,940494604.3526838
2024-10-05 00:00:00,973154174.1092855
2024-10-06 00:00:00,972980583.6099908
2024-10-07 00:00:00,984267701.1796582
2024-10-08 00:00:00,980592766.7859899
2024-10-09 00:00:00,975779684.9762471
2024-10-10 00:00:00,951829740.790491
2024-10-11 00:00:00,944341995.413423
2024-10-12 00:00:00,971395707.8298348
